,lambda1_share,lambda1_share_roc,n_significant_mp,regime_prob_stress
2023-10-25,0.109429138349766,0.0009535857624764638,0.0,9.935895706899685e-06
2023-10-26,0.10971265719161302,0.0027417831276789484,0.0,9.652354807724623e-06
2023-10-27,0.11361474994405532,0.004598691270099042,0.0,7.061923720844073e-06
2023-10-30,0.11127533758689112,0.0018198081806152372,0.0,8.303616279192222e-06
2023-10-31,0.1144098841710533,0.0026177802971411868,0.0,6.780968032561866e-06
2023-11-01,0.11270032014298884,0.0032711817932228326,0.0,7.451252657121837e-06
2023-11-02,0.11469851947886885,0.004985862287255824,0.0,6.693516140847555e-06
2023-11-03,0.11449712547580337,0.0008823755317480531,0.0,6.74733928381328e-06
2023-11-06,0.11706154996937829,0.005786212382487166,0.0,6.292887584933301e-06
2023-11-07,0.11772667214860372,0.003316787977550417,0.0,6.263858503304636e-06
2023-11-08,0.1162144788548794,0.0035141587118905637,0.0,6.3776142515807045e-06
2023-11-09,0.11539402724776703,0.0006955077688981792,0.0,6.5203686930239305e-06
2023-11-10,0.11654271636953334,0.002045590893729965,0.0,6.33802128648633e-06
2023-11-13,0.11660122727500839,-0.00046032269436989404,0.0,6.330909436785552e-06
2023-11-14,0.11326916520678205,-0.004457506941821662,0.0,7.186403159826798e-06
2023-11-15,0.11781375646852799,0.0015992776136485864,0.0,6.266831359367733e-06
2023-11-16,0.1156409594185051,0.00024693217073806784,0.0,6.470843757662445e-06
2023-11-17,0.11352830450022104,-0.0030144118693122973,0.0,7.080322382186822e-06
2023-11-20,0.113111262489532,-0.0034899647854763904,0.0,7.259076766827793e-06
2023-11-21,0.11613869595466947,0.002869530747887414,0.0,6.392708330920146e-06
2023-11-22,0.11998612346541643,0.002172366996888442,0.0,6.440685770835838e-06
2023-11-23,0.12811104272747095,0.01247008330896586,0.0,1.2231361588023707e-05
2023-11-24,0.12684911715063718,0.013320812650416139,0.0,1.0515107312774367e-05
2023-11-27,0.12397961485836488,0.010868352368832879,0.0,7.963140208662084e-06
2023-11-28,0.12517086388219686,0.009032167927527396,0.0,8.80345052820151e-06
2023-11-29,0.12375770389210056,0.003771580426684129,0.0,7.819631611025225e-06
2023-11-30,0.12167244552012117,-0.0064385972073497805,0.0,6.8692184308348225e-06
2023-12-01,0.12054986351776065,-0.006299253632876534,0.0,6.554209324861187e-06
2023-12-04,0.12154873579808899,-0.0024308790602758923,0.0,6.822876898728936e-06
2023-12-05,0.12601798960222324,0.000847125720026376,0.0,9.56423547057584e-06
2023-12-06,0.12512310343976696,0.0013653995476664016,0.0,8.774123127323364e-06
2023-12-07,0.12489673692247735,0.0032242914023561803,0.0,8.590008614521056e-06
2023-12-08,0.12622611731910954,0.005676253801348896,0.0,9.788616826593792e-06
2023-12-11,0.1234491765509915,0.0019004407529025075,0.0,7.650165878184807e-06
2023-12-12,0.12197069352861807,-0.004047296073605169,0.0,6.9723327935947814e-06
2023-12-13,0.12211307042943591,-0.0030100330103310508,0.0,7.022029331417601e-06
2023-12-14,0.12539914897633053,0.0005024120538531796,0.0,8.990201735114938e-06
2023-12-15,0.12384748633762678,-0.0023786309814827628,0.0,7.874029425187326e-06
2023-12-18,0.1279596608818015,0.0045104843308099996,0.0,1.2004711075433734e-05
2023-12-19,0.12776067706085714,0.005789983532239071,0.0,1.1736570471183004e-05
2023-12-20,0.12813974774700404,0.006026677317568133,0.0,1.232253653259872e-05
2023-12-21,0.1293126718389741,0.00391352286264357,0.0,1.4510009492234806e-05
2023-12-22,0.12813567140775853,0.0042881850701317475,0.0,1.2339491899826676e-05
2023-12-25,0.12925683329843893,0.001297172416637432,0.0,1.4392252623711467e-05
2023-12-26,0.12905838172829162,0.0012977046674344794,0.0,1.4005159162999043e-05
2023-12-27,0.13033308050526068,0.002193332758256644,0.0,1.6982277617275086e-05
2023-12-28,0.1325736489271934,0.0032609770882192912,0.0,2.5129008069300016e-05
2023-12-29,0.13318319216312052,0.005047520755361995,1.0,2.841164994326654e-05
2024-01-01,0.12048241051649525,-0.00877442278194368,0.0,6.6368491638150535e-06
2024-01-02,0.12092767545101772,-0.0081307062772739,0.0,6.644028712896337e-06
2024-01-03,0.12072507287951864,-0.009608007625742043,0.0,6.593672619488546e-06
2024-01-04,0.12345554560753613,-0.009118103319657261,0.0,7.636754534182794e-06
2024-01-05,0.12326259601661493,-0.00992059614650559,0.0,7.539618541569702e-06
2024-01-08,0.12377011338637119,0.0032877028698759386,0.0,7.820104827048061e-06
2024-01-09,0.12070402194863081,-0.00022365350238691406,0.0,6.5940204287927185e-06
2024-01-10,0.11566651590719733,-0.0050585569723213125,0.0,6.467544390958964e-06
2024-01-11,0.11476475230481638,-0.008690793302719754,0.0,6.6709759231380776e-06
2024-01-12,0.11958390870584178,-0.003678687310773157,0.0,6.3795025517274905e-06
2024-01-15,0.1220669364448517,-0.001703176941519488,0.0,7.0017507474758764e-06
2024-01-16,0.12227082707003195,0.0015668051214011436,0.0,7.083481942410083e-06
2024-01-17,0.12377407622928234,0.008107560322085011,0.0,7.819973685578663e-06
2024-01-18,0.12548182309797717,0.010717070793160796,0.0,9.067440608760502e-06
2024-01-19,0.12654761840481218,0.006963709698970408,0.0,1.0140899259649104e-05
2024-01-22,0.1286751473593227,0.006608210914471002,0.0,1.3230760904183108e-05
2024-01-23,0.1288315564647366,0.006560729394704645,0.0,1.3551082930367225e-05
2024-01-24,0.12832213204888374,0.004548055819601396,0.0,1.2640013346683218e-05
2024-01-25,0.1308302263307446,0.005348403232767418,0.0,1.8396476992443937e-05
2024-01-26,0.12982950093428514,0.0032818825294729514,0.0,1.5743801500446895e-05
2024-01-29,0.12733388372342735,-0.0013412636358953456,0.0,1.1161045887690785e-05
2024-01-30,0.12908481013639111,0.0002532536716545186,0.0,1.4027071492162633e-05
2024-01-31,0.12670101378381193,-0.0016211182650718026,0.0,1.0351969224739525e-05
2024-02-01,0.12853509446563083,-0.002295131865113764,0.0,1.2980448643160392e-05
2024-02-02,0.12689029505540625,-0.0029392058788788866,0.0,1.057053785079886e-05
2024-02-05,0.12102111711911176,-0.006312766604315595,0.0,6.6867351354186544e-06
2024-02-06,0.12449211563390196,-0.004592694502489156,0.0,8.280170768543456e-06
2024-02-07,0.11741996429863609,-0.009281049485175843,0.0,6.280518833919827e-06
2024-02-08,0.1149801482604421,-0.013554946205188725,0.0,6.6145354339889305e-06
2024-02-09,0.1140158452483202,-0.012874449807086047,0.0,6.900502402186165e-06
2024-02-12,0.11470618629870256,-0.006314930820409195,0.0,6.6888620746885276e-06
2024-02-13,0.11501854971221961,-0.009473565921682345,0.0,6.6069558267825865e-06
2024-02-14,0.11426553708802424,-0.0031544272106118487,0.0,6.817851330666088e-06
2024-02-15,0.11608069149587104,0.0011005432354289357,0.0,6.3992757869246744e-06
2024-02-16,0.11446869588816787,0.0004528506398476656,0.0,6.754379555432608e-06
2024-02-19,0.11348973360113186,-0.0012164526975707024,0.0,7.097119246600893e-06
2024-02-20,0.11093328316254877,-0.004085266549670841,0.0,8.555260959646594e-06
2024-02-21,0.11289377185206484,-0.0013717652359594018,0.0,7.366488394799743e-06
